Region,Year,Energy Recovery,Landfill,Recycling,Waste generated,Waste treatment
Albania,2013,32.0,164.0,0.0,325.0,325.0
Albania,2014,15.0,270.0,0.0,425.0,425.0
Albania,2015,20.0,337.0,0.0,491.0,491.0
Albania,2016,21.0,353.0,0.0,452.0,452.0
Albania,2017,15.0,346.0,0.0,436.0,436.0
Albania,2018,22.0,355.0,0.0,462.0,462.0
Albania,2019,4.0,305.0,0.0,381.0,381.0
Albania,2020,4.0,298.0,67.0,369.0,369.0
Albania,2021,6.0,247.0,58.0,311.0,311.0
Albania,2022,13.0,226.0,56.0,295.0,295.0
Albania,2023,14.0,234.0,57.0,306.0,306.0
Austria,1995,54.0,205.0,221.0,437.0,482.0
Austria,1996,54.0,185.0,321.0,516.0,563.0
Austria,1997,56.0,189.0,338.0,532.0,586.0
Austria,1998,55.0,186.0,342.0,532.0,586.0
Austria,1999,57.0,194.0,357.0,563.0,611.0
Austria,2000,65.0,196.0,368.0,580.0,633.0
Austria,2001,65.0,192.0,371.0,576.0,631.0
Austria,2002,66.0,187.0,380.0,608.0,637.0
Austria,2003,73.0,183.0,390.0,607.0,650.0
Austria,2004,169.0,68.0,329.0,574.0,566.0
Austria,2005,159.0,65.0,335.0,575.0,559.0
Austria,2006,173.0,59.0,353.0,597.0,585.0
Austria,2007,175.0,51.0,359.0,597.0,586.0
Austria,2008,163.0,45.0,380.0,600.0,587.0
Austria,2009,173.0,36.0,365.0,590.0,574.0
Austria,2010,196.0,18.0,334.0,562.0,548.0
Austria,2011,200.0,27.0,325.0,573.0,552.0
Austria,2012,201.0,25.0,334.0,579.0,560.0
Austria,2013,202.0,23.0,334.0,578.0,559.0
Austria,2014,205.0,23.0,319.0,565.0,547.0
Austria,2015,212.0,17.0,318.0,560.0,547.0
Austria,2016,212.0,15.0,325.0,564.0,552.0
Austria,2017,221.0,12.0,329.0,570.0,562.0
Austria,2018,224.0,13.0,334.0,579.0,570.0
Austria,2019,226.0,12.0,342.0,588.0,580.0
Austria,2020,299.0,15.0,519.0,834.0,834.0
Austria,2021,296.0,17.0,521.0,835.0,835.0
Austria,2022,284.0,17.0,503.0,803.0,803.0
Austria,2023,277.0,14.0,491.0,782.0,782.0
Belgium,1995,161.0,198.0,87.0,455.0,446.0
Belgium,1996,153.0,169.0,113.0,450.0,435.0
Belgium,1997,175.0,123.0,157.0,457.0,455.0
Belgium,1998,162.0,101.0,189.0,451.0,452.0
Belgium,1999,147.0,91.0,212.0,460.0,451.0
Belgium,2000,158.0,91.0,234.0,471.0,484.0
Belgium,2001,151.0,74.0,235.0,467.0,460.0
Belgium,2002,170.0,56.0,248.0,482.0,474.0
Belgium,2003,174.0,52.0,246.0,465.0,472.0
Belgium,2004,173.0,57.0,260.0,485.0,489.0
Belgium,2005,180.0,56.0,268.0,482.0,504.0
Belgium,2006,169.0,47.0,272.0,485.0,488.0
Belgium,2007,186.0,47.0,280.0,493.0,513.0
Belgium,2008,184.0,19.0,253.0,480.0,456.0
Belgium,2009,176.0,15.0,252.0,467.0,443.0
Belgium,2010,178.0,7.0,250.0,456.0,436.0
Belgium,2011,182.0,4.0,247.0,455.0,433.0
Belgium,2012,184.0,3.0,237.0,445.0,425.0
Belgium,2013,191.0,4.0,230.0,436.0,425.0
Belgium,2014,185.0,4.0,228.0,425.0,418.0
Belgium,2015,182.0,4.0,220.0,412.0,406.0
Belgium,2016,186.0,3.0,224.0,419.0,419.0
Belgium,2017,176.0,4.0,221.0,411.0,407.0
Belgium,2018,177.0,4.0,222.0,409.0,409.0
Belgium,2019,178.0,4.0,227.0,416.0,416.0
Belgium,2020,353.0,2.0,374.0,729.0,729.0
Belgium,2021,332.0,3.0,420.0,755.0,755.0
Belgium,2022,311.0,1.0,377.0,690.0,690.0
Belgium,2023,303.0,1.0,384.0,688.0,688.0
Belgium,2024,305.0,1.0,393.0,699.0,699.0
Bosnia and Herzegovina,2008,0.0,317.0,0.0,356.0,317.0
Bosnia and Herzegovina,2009,0.0,261.0,0.0,354.0,261.0
Bosnia and Herzegovina,2010,0.0,271.0,0.0,332.0,271.0
Bosnia and Herzegovina,2011,0.0,269.0,0.0,340.0,269.0
Bosnia and Herzegovina,2012,0.0,227.0,0.0,340.0,227.0
Bosnia and Herzegovina,2013,0.0,233.0,0.0,311.0,233.0
Bosnia and Herzegovina,2014,0.0,234.0,0.0,349.0,234.0
Bosnia and Herzegovina,2015,0.0,257.0,0.0,340.0,257.0
Bosnia and Herzegovina,2016,0.0,270.0,0.0,354.0,272.0
Bosnia and Herzegovina,2017,0.0,270.0,0.0,352.0,271.0
Bosnia and Herzegovina,2018,0.0,271.0,0.0,356.0,273.0
Bosnia and Herzegovina,2019,0.0,311.0,0.0,352.0,319.0
Bosnia and Herzegovina,2020,0.0,313.0,0.0,346.0,316.0
Bosnia and Herzegovina,2021,0.0,0.0,0.0,355.0,281.0
Bosnia and Herzegovina,2022,0.0,267.0,3.0,343.0,269.0
Bosnia and Herzegovina,2023,0.0,264.0,3.0,346.0,268.0
Bosnia and Herzegovina,2024,0.0,269.0,4.0,329.0,273.0
Bulgaria,1995,0.0,531.0,0.0,694.0,531.0
Bulgaria,1996,0.0,478.0,0.0,618.0,478.0
Bulgaria,1997,0.0,435.0,0.0,579.0,435.0
Bulgaria,1998,0.0,384.0,94.0,591.0,478.0
Bulgaria,1999,0.0,389.0,94.0,598.0,483.0
Bulgaria,2000,0.0,400.0,95.0,612.0,495.0
Bulgaria,2001,0.0,399.0,96.0,596.0,495.0
Bulgaria,2002,0.0,407.0,98.0,602.0,505.0
Bulgaria,2003,0.0,411.0,100.0,603.0,510.0
Bulgaria,2004,0.0,401.0,103.0,599.0,503.0
Bulgaria,2005,0.0,411.0,107.0,588.0,518.0
Bulgaria,2006,0.0,362.0,110.0,577.0,472.0
Bulgaria,2007,0.0,395.0,114.0,553.0,509.0
Bulgaria,2008,0.0,448.0,116.0,599.0,564.0
Bulgaria,2009,0.0,460.0,119.0,598.0,579.0
Bulgaria,2010,0.0,411.0,136.0,554.0,547.0
Bulgaria,2011,0.0,349.0,133.0,508.0,483.0
Bulgaria,2012,0.0,318.0,115.0,460.0,433.0
Bulgaria,2013,7.0,303.0,125.0,438.0,434.0
Bulgaria,2014,7.0,313.0,104.0,451.0,425.0
Bulgaria,2015,12.0,286.0,127.0,431.0,424.0
Bulgaria,2016,16.0,268.0,133.0,418.0,417.0
Bulgaria,2017,15.0,280.0,157.0,453.0,451.0
Bulgaria,2018,31.0,261.0,134.0,426.0,426.0
Bulgaria,2019,16.0,288.0,161.0,465.0,464.0
Bulgaria,2020,20.0,291.0,152.0,432.0,408.0
Bulgaria,2021,13.0,137.0,132.0,470.0,467.0
Bulgaria,2022,15.0,262.0,120.0,488.0,451.0
Bulgaria,2023,16.0,217.0,82.0,490.0,334.0
Croatia,1997,0.0,0.0,0.0,224.0,0.0
Croatia,2000,0.0,0.0,0.0,262.0,0.0
Croatia,2004,0.0,0.0,0.0,304.0,0.0
Croatia,2005,0.0,0.0,0.0,336.0,0.0
Croatia,2006,0.0,283.0,0.0,384.0,283.0
Croatia,2007,0.0,382.0,13.0,399.0,395.0
Croatia,2008,0.0,401.0,11.0,415.0,413.0
Croatia,2009,0.0,393.0,9.0,405.0,402.0
Croatia,2010,0.0,358.0,16.0,379.0,373.0
Croatia,2011,0.0,349.0,32.0,384.0,381.0
Croatia,2012,0.0,323.0,57.0,391.0,381.0
Croatia,2013,0.0,334.0,61.0,407.0,395.0
Croatia,2014,1.0,312.0,64.0,390.0,377.0
Croatia,2015,0.0,317.0,72.0,398.0,389.0
Croatia,2016,0.0,314.0,86.0,409.0,400.0
Croatia,2017,0.0,307.0,100.0,424.0,407.0
Croatia,2018,0.0,293.0,112.0,443.0,406.0
Croatia,2019,0.0,272.0,138.0,459.0,410.0
Croatia,2020,1.0,261.0,127.0,433.0,390.0
Croatia,2021,1.0,266.0,143.0,456.0,410.0
Croatia,2022,1.0,266.0,164.0,478.0,430.0
Croatia,2023,8.0,246.0,171.0,475.0,425.0
Croatia,2024,7.0,247.0,178.0,486.0,434.0
Cyprus,1995,0.0,595.0,0.0,595.0,595.0
Cyprus,1996,0.0,588.0,17.0,605.0,605.0
Cyprus,1997,0.0,593.0,19.0,612.0,612.0
Cyprus,1998,0.0,598.0,18.0,616.0,616.0
Cyprus,1999,0.0,601.0,19.0,620.0,620.0
Cyprus,2000,0.0,609.0,19.0,628.0,628.0
Cyprus,2001,0.0,630.0,20.0,650.0,650.0
Cyprus,2002,0.0,634.0,21.0,655.0,655.0
Cyprus,2003,0.0,650.0,21.0,670.0,670.0
Cyprus,2004,0.0,662.0,23.0,684.0,684.0
Cyprus,2005,0.0,663.0,25.0,688.0,688.0
Cyprus,2006,0.0,665.0,30.0,695.0,695.0
Cyprus,2007,0.0,668.0,36.0,704.0,704.0
Cyprus,2008,0.0,675.0,54.0,729.0,729.0
Cyprus,2009,0.0,668.0,61.0,729.0,729.0
Cyprus,2010,0.0,600.0,79.0,711.0,679.0
Cyprus,2011,0.0,559.0,77.0,692.0,636.0
Cyprus,2012,0.0,541.0,86.0,681.0,628.0
Cyprus,2013,0.0,503.0,88.0,634.0,592.0
Cyprus,2014,5.0,463.0,91.0,613.0,560.0
Cyprus,2015,0.0,475.0,104.0,626.0,580.0
Cyprus,2016,2.0,490.0,104.0,638.0,596.0
Cyprus,2017,2.0,484.0,104.0,631.0,590.0
Cyprus,2018,5.0,444.0,110.0,651.0,559.0
Cyprus,2019,6.0,423.0,111.0,653.0,541.0
Cyprus,2020,9.0,401.0,105.0,614.0,514.0
Cyprus,2021,15.0,384.0,89.0,635.0,488.0
Cyprus,2022,16.0,387.0,97.0,654.0,499.0
Cyprus,2023,16.0,406.0,104.0,661.0,526.0
Cyprus,2024,17.0,457.0,109.0,688.0,582.0
Czechia,1995,0.0,302.0,0.0,302.0,302.0
Czechia,1996,0.0,310.0,0.0,310.0,310.0
Czechia,1997,0.0,318.0,0.0,318.0,318.0
Czechia,1998,17.0,272.0,2.0,293.0,291.0
Czechia,1999,30.0,277.0,3.0,327.0,310.0
Czechia,2000,31.0,283.0,3.0,335.0,317.0
Czechia,2001,35.0,215.0,2.0,274.0,253.0
Czechia,2002,39.0,206.0,3.0,279.0,247.0
Czechia,2003,39.0,201.0,3.0,280.0,243.0
Czechia,2004,40.0,180.0,15.0,279.0,235.0
Czechia,2005,37.0,189.0,18.0,289.0,244.0
Czechia,2006,38.0,200.0,22.0,297.0,260.0
Czechia,2007,38.0,206.0,30.0,294.0,274.0
Czechia,2008,36.0,198.0,32.0,306.0,265.0
Czechia,2009,36.0,202.0,39.0,317.0,277.0
Czechia,2010,47.0,206.0,50.0,318.0,304.0
Czechia,2011,58.0,206.0,54.0,320.0,319.0
Czechia,2012,62.0,174.0,71.0,308.0,308.0
Czechia,2013,60.0,173.0,74.0,307.0,307.0
Czechia,2014,57.0,174.0,79.0,310.0,310.0
Czechia,2015,56.0,166.0,94.0,316.0,316.0
Czechia,2016,56.0,169.0,114.0,339.0,339.0
Czechia,2017,85.0,222.0,157.0,489.0,467.0
Czechia,2018,83.0,229.0,159.0,494.0,473.0
Czechia,2019,82.0,231.0,167.0,500.0,482.0
Czechia,2020,69.0,259.0,220.0,543.0,550.0
Czechia,2021,69.0,263.0,247.0,570.0,581.0
Czechia,2022,67.0,249.0,227.0,549.0,543.0
Czechia,2023,76.0,228.0,234.0,538.0,538.0
Denmark,1995,293.0,96.0,131.0,521.0,521.0
Denmark,1996,307.0,82.0,229.0,618.0,618.0
Denmark,1997,314.0,65.0,208.0,587.0,587.0
Denmark,1998,312.0,67.0,213.0,592.0,592.0
Denmark,1999,314.0,68.0,244.0,626.0,626.0
Denmark,2000,351.0,66.0,246.0,664.0,664.0
Denmark,2001,373.0,47.0,237.0,657.0,657.0
Denmark,2002,374.0,41.0,250.0,664.0,664.0
Denmark,2003,363.0,34.0,274.0,671.0,671.0
Denmark,2004,379.0,31.0,285.0,695.0,695.0
Denmark,2005,396.0,38.0,302.0,736.0,736.0
Denmark,2006,393.0,37.0,309.0,740.0,740.0
Denmark,2007,403.0,37.0,349.0,790.0,790.0
Denmark,2008,400.0,32.0,398.0,830.0,830.0
Denmark,2009,367.0,24.0,371.0,762.0,762.0
Denmark,2011,474.0,22.0,365.0,862.0,862.0
Denmark,2012,446.0,18.0,342.0,806.0,806.0
Denmark,2013,447.0,14.0,352.0,813.0,813.0
Denmark,2014,430.0,12.0,367.0,808.0,808.0
Denmark,2015,422.0,11.0,390.0,822.0,822.0
Denmark,2016,419.0,10.0,402.0,830.0,830.0
Denmark,2017,421.0,8.0,390.0,820.0,820.0
Denmark,2018,397.0,9.0,406.0,814.0,812.0
Denmark,2019,401.0,8.0,435.0,844.0,844.0
Denmark,2020,435.0,7.0,366.0,814.0,813.0
Denmark,2021,395.0,13.0,392.0,800.0,800.0
Denmark,2022,363.0,12.0,382.0,759.0,759.0
Denmark,2023,387.0,14.0,354.0,759.0,759.0
Denmark,2024,386.0,15.0,350.0,755.0,755.0
Estonia,1995,0.0,368.0,2.0,371.0,370.0
Estonia,1996,0.0,398.0,1.0,399.0,399.0
Estonia,1997,0.0,423.0,1.0,424.0,424.0
Estonia,1998,0.0,401.0,1.0,402.0,402.0
Estonia,1999,0.0,409.0,0.0,409.0,409.0
Estonia,2000,0.0,430.0,10.0,453.0,441.0
Estonia,2001,0.0,290.0,19.0,366.0,310.0
Estonia,2002,0.0,304.0,11.0,401.0,315.0
Estonia,2003,0.0,271.0,62.0,414.0,333.0
Estonia,2004,0.0,281.0,110.0,445.0,392.0
Estonia,2005,0.0,273.0,98.0,433.0,371.0
Estonia,2006,1.0,277.0,69.0,398.0,347.0
Estonia,2007,1.0,291.0,104.0,449.0,396.0
Estonia,2008,1.0,249.0,79.0,392.0,329.0
Estonia,2009,0.0,215.0,71.0,339.0,287.0
Estonia,2010,0.0,201.0,55.0,305.0,256.0
Estonia,2011,0.0,180.0,70.0,301.0,250.0
Estonia,2012,35.0,98.0,54.0,280.0,187.0
Estonia,2013,163.0,40.0,52.0,293.0,255.0
Estonia,2014,169.0,23.0,111.0,357.0,303.0
Estonia,2015,185.0,26.0,102.0,359.0,313.0
Estonia,2016,184.0,39.0,105.0,376.0,344.0
Estonia,2017,165.0,75.0,110.0,390.0,373.0
Estonia,2018,167.0,87.0,114.0,405.0,382.0
Estonia,2019,167.0,64.0,114.0,369.0,345.0
Estonia,2020,164.0,56.0,111.0,383.0,331.0
Estonia,2021,192.0,78.0,120.0,395.0,389.0
Estonia,2022,157.0,49.0,124.0,373.0,330.0
Estonia,2023,159.0,2.0,142.0,373.0,339.0
Estonia,2024,158.0,48.0,136.0,375.0,343.0
